ID,site,gradient,microsite,N,P,K
1,Panoche,1,shrub,1.14,11.9,482
2,Panoche,1,open,0.55,10.7,299
3,Panoche,1,shrub,1.44,16.5,542
4,Panoche,1,open,1.65,7.6,362
5,Panoche,1,shrub,2.9,19.1,746
6,Panoche,1,open,0.52,6.6,269
7,Panoche,1,shrub,1.86,14.8,579
8,Panoche,1,open,0.37,5.5,272
9,Panoche,1,shrub,1.1,19.1,575
10,Panoche,1,open,0.42,8.3,348
11,Cuyama,2,shrub,1.37,13.6,153
12,Cuyama,2,open,0.33,9.8,129
13,Cuyama,2,shrub,2.97,11.7,225
14,Cuyama,2,open,0.42,6.1,135
15,Cuyama,2,shrub,2.02,15.2,206
16,Cuyama,2,open,0.34,8.4,96
17,Cuyama,2,shrub,3.05,12.2,184
18,Cuyama,2,open,0.16,7.4,169
19,Cuyama,2,shrub,4.92,19.7,284
20,Cuyama,2,open,0.32,8.9,142
21,Tejon,3,shrub,0.59,9.4,100
22,Tejon,3,open,0.29,9.7,61
23,Tejon,3,shrub,1.4,9.7,100
24,Tejon,3,open,0.17,10.2,77
25,Tejon,3,shrub,1.1,11,115
26,Tejon,3,open,0.31,8.7,82
27,Tejon,3,shrub,0.35,10.7,150
28,Tejon,3,open,0.82,9.9,85
29,Tejon,3,shrub,0.31,12.1,153
30,Tejon,3,open,0.34,12.1,109
31,Barstow,4,shrub,52.37,7.7,130
32,Barstow,4,open,13.37,17.5,396
33,Barstow,4,shrub,2.6,4.7,138
34,Barstow,4,open,2.17,2.6,143
35,Barstow,4,shrub,35.32,10.4,148
36,Barstow,4,open,3.12,3.3,100
37,Barstow,4,shrub,38.52,14.1,261
38,Barstow,4,open,4.32,2.9,79
39,Barstow,4,shrub,1.8,3.7,165
40,Barstow,4,open,1.31,1.9,95
41,hwy40,5,shrub,9.62,9.4,191
42,hwy40,5,open,0.69,2.7,63
43,hwy40,5,shrub,25.22,13,222
44,hwy40,5,open,0.46,1.3,54
45,hwy40,5,shrub,1.08,2.1,59
46,hwy40,5,open,0.4,1.3,56
47,hwy40,5,shrub,7.22,10,165
48,hwy40,5,open,1.41,3,88
49,hwy40,5,shrub,2.68,8.3,186
50,hwy40,5,open,1.54,1.7,86
51,Sheephole,6,shrub,4.26,4.8,173
52,Sheephole,6,open,1.09,1,36
53,Sheephole,6,shrub,28.32,13.8,166
54,Sheephole,6,open,7.57,5.2,74
55,Sheephole,6,shrub,22.72,6.8,128
56,Sheephole,6,open,1.92,2.8,85
57,Sheephole,6,shrub,38.32,11.9,257
58,Sheephole,6,open,1.06,1.8,60
59,Sheephole,6,shrub,12.42,8,162
60,Sheephole,6,open,3.63,2.6,126
61,Tecopa,7,shrub,1.51,3.8,112
62,Tecopa,7,open,0.36,2.8,103
63,Tecopa,7,shrub,0.35,3.9,80
64,Tecopa,7,open,0.21,1,99
65,Tecopa,7,shrub,5.32,3,109
66,Tecopa,7,open,0.35,1,78
67,Tecopa,7,shrub,4.43,4.8,180
68,Tecopa,7,open,3.63,1.3,301
69,Tecopa,7,shrub,3.87,2.9,182
70,Tecopa,7,open,0.19,1.2,143
