species ,seed number,mass,rep
Caulanthus,3043,1,1
Caulanthus,3000,1,2
Caulanthus,2997,1,3
Caulanthus,3024,1,4
Caulanthus,3031,1,5
Phacelia,792,1,1
Phacelia,761,1,2
Phacelia,766,1,3
Phacelia,770,1,4
Phacelia,771,1,5
Monolopia ,757,1,1
Monolopia ,749,1,2
Monolopia ,734,1,3
Monolopia ,711,1,4
Monolopia ,738,1,5
Lipidium ,747,1,1
Lipidium ,757,1,2
Lipidium ,753,1,3
Lipidium ,765,1,4
Lipidium ,740,1,5
Plantago,548,1,1
Plantago,581,1,2
Plantago,545,1,3
Plantago,567,1,4
Plantago,550,1,5
Amsinkia,246,1,1
Amsinkia,258,1,2
Amsinkia,216,1,3
Amsinkia,233,1,4
Amsinkia,223,1,5
Salvia,977,1,1
Salvia,1015,1,2
Salvia,959,1,3
Salvia,982,1,4
Salvia,967,1,5
