"","Year","Site","abd","richness","biomass"
"1",2016,"Barstow",0,0,0
"2",2016,"Cuyama",35.3333333333333,3.06666666666667,2.3833895
"3",2016,"HeartofMojave",6.78333333333333,3.16666666666667,1.5147035
"4",2016,"PanocheHills",59.9,2.1,12.732883
"5",2016,"SheepholeValley",1.01666666666667,0.616666666666667,0.226691666666667
"6",2016,"Tecopa",29.8166666666667,2.26666666666667,1.09596016666667
"7",2016,"TejonRanch",38.4166666666667,3.45,1.1010105
"8",2017,"Barstow",16.85,2.11666666666667,1.05009
"9",2017,"Cuyama",99.2,2.43333333333333,3.687925
"10",2017,"HeartofMojave",9.68333333333333,2.53333333333333,0.565658333333333
"11",2017,"PanocheHills",183.316666666667,1.91666666666667,10.3827916666667
"12",2017,"SheepholeValley",7.5,2.33333333333333,1.19077166666667
"13",2017,"Tecopa",19.7166666666667,1.86666666666667,0.566908333333333
"14",2017,"TejonRanch",48.8833333333333,3.33333333333333,1.49776333333333
